created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 21 19:21:16 +0000 2024;1749150186390409251;"@vaiyo @gibran_tweet Xixix lu asik, asik sendiri";0;0;0;1;in;1738288964438827008;1749099183049687332;inisial78644;https://twitter.com/inisial78644/status/1749150186390409251
Sun Jan 21 19:21:08 +0000 2024;1749150153217589300;"@erickthohir @prabowo @gibran_tweet Dia yg debat aku yg malu 🤭";0;0;0;0;in;1266386436049289216;1749054500072296545;MuhiqR;https://twitter.com/MuhiqR/status/1749150153217589300
Sun Jan 21 19:21:04 +0000 2024;1749150136012587089;"@Trananda_ @detikcom @gibran_tweet Gue cuma niru wowo goblog2in org kok. Bukan fitnah, fakta lapangan, klo nonton debat.";0;0;0;0;in;1639315365489709056;1749072991873606027;RakyatNgenez;https://twitter.com/RakyatNgenez/status/1749150136012587089
Sun Jan 21 19:21:00 +0000 2024;1749150119981981885;"@kozirama Lupa ya pas Gibran narek paksa masker paspampres dulu?";0;0;0;0;in;1377693135011160072;1749079020233474534;angelbingit;https://twitter.com/angelbingit/status/1749150119981981885
Sun Jan 21 19:20:55 +0000 2024;1749150098393804884;"@WaktunyaIDMaju Mas Gibran pasti bisa lebih baik lagi 👍🏻";0;0;0;0;in;1738069263964098560;1748994988225270249;jendeukwithkim;https://twitter.com/jendeukwithkim/status/1749150098393804884
Sun Jan 21 19:20:49 +0000 2024;1749150073651597523;"@AlissaWahid @gibran_tweet @aniesbaswedan @ganjarpranowo @aniesbaswedan substansi? 11 dari 100 maksudnya? 🤭";0;0;0;0;in;2281694042;1749074498647962071;fortisfortuna_9;https://twitter.com/fortisfortuna_9/status/1749150073651597523
Sun Jan 21 19:20:47 +0000 2024;1749150064789086502;"@nugrosho @SoeryaRoyce @kikysaputrii MON MAAP milenial itu dijaman mu bapak, kalo dijaman mas gibran (jaman sekarang) namanya generasi Z Lebih memalukan bapak sih  Awokawokawokawokwkwkwkwk";0;0;0;0;in;618978963;1749050709260247440;idanudia95;https://twitter.com/idanudia95/status/1749150064789086502
Sun Jan 21 19:20:47 +0000 2024;1749150063551787083;"@yusuf_dumdum @gibran_tweet @mohmahfudmd Biasa.., buat konten savage  tiktok..iya kan??🥰🙏@gibran_tweet";0;0;0;0;in;914870569;1749078450231710051;Luphitaoctavia;https://twitter.com/Luphitaoctavia/status/1749150063551787083
Sun Jan 21 19:20:46 +0000 2024;1749150059382661475;"@erickthohir @prabowo @gibran_tweet Miris pak gaada netralitas";0;0;0;0;in;1679817232594120705;1749054500072296545;MamanTzy16576;https://twitter.com/MamanTzy16576/status/1749150059382661475
Sun Jan 21 19:20:33 +0000 2024;1749150006848934243;"@berlianidris @tomlembong @gibran_tweet nih bapak lu bergantung ke tom lembong 😭😭😭";0;0;0;0;in;1481452173867520000;1749097407261102492;_nusaena;https://twitter.com/_nusaena/status/1749150006848934243
Sun Jan 21 19:20:27 +0000 2024;1749149979485311474;"@gibran_tweet Gibran debat malam ini bikin geleng-geleng kepala zero etika!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1715248527566344192;1749099183049687332;eshaanrmdh;https://twitter.com/eshaanrmdh/status/1749149979485311474
Sun Jan 21 19:20:27 +0000 2024;1749149979053301862;"@gibran_tweet Capres dan cawapres 02 disamain sama Gibran? Gak jauh beda tanpa etika!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1715220486135894016;1749099183049687332;SalsaNatasyahl;https://twitter.com/SalsaNatasyahl/status/1749149979053301862
Sun Jan 21 19:20:27 +0000 2024;1749149978239631659;"@gibran_tweet Gibran tanpa tata krama tanpa moral gak layak jadi pemimpin!  #DebatCawapres AsalBukanPrabowo Gibran Savage Cringe Tengil Songong";0;0;0;0;in;1717062479002669056;1749099183049687332;romijonatannzr;https://twitter.com/romijonatannzr/status/1749149978239631659
Sun Jan 21 19:20:26 +0000 2024;1749149974515142914;"wkwk gibran debat kali ini jelek bgtu malah dibilang savage aneh anjeng???";0;0;0;0;in;1561430186645934080;1749149974515142914;baesuzix;https://twitter.com/baesuzix/status/1749149974515142914
Sun Jan 21 19:20:25 +0000 2024;1749149972300501394;"@seruanhl @03__nakula @AntoniusCDN @Aryprasetyo85 @BiLLRaY2019 @B3doel___ @NgkongRoses Kemaren ngebully n ngetawa2in prabowo, dibales gibran kan sekarang. Kasih contoh yg bagus ke anak muda.klo yang tua kurang ajar, yg muda ngelawan jadinya. Guru kencing berdiri murid kencing berlari";0;0;0;0;in;159692758;1749081548060770658;ahmad_syah8080;https://twitter.com/ahmad_syah8080/status/1749149972300501394
